device_id,day,source,target,weight,distance,dow
6376,2020-02-07,3679.0,10558.0,1,[5.53],5
6376,2020-02-07,10558.0,9126.0,1,[1.512],5
6376,2020-02-07,9126.0,9442.0,1,[1.46],5
6376,2020-02-07,9442.0,3470.0,1,[5.814],5
6376,2020-02-07,3470.0,4929.0,1,[1.666],5
6376,2020-02-07,4929.0,5459.0,1,[3.567],5
6376,2020-02-10,10571.0,3683.0,1,[5.32],1
6376,2020-02-11,3679.0,10548.0,1,[5.306],2
6376,2020-02-13,10571.0,10664.0,1,[1.954],4
6376,2020-02-17,10571.0,9319.0,1,[0.802],1
6376,2020-02-18,10571.0,3648.0,1,[5.18],2
6376,2020-02-19,3679.0,10572.0,1,[5.37],3
6376,2020-02-21,10571.0,4527.0,1,[8.231],5
6376,2020-02-21,4527.0,3648.0,1,[3.789],5
6376,2020-02-21,3648.0,5459.0,1,[4.575],5
6376,2020-02-21,5459.0,5580.0,1,[2.143],5
6376,2020-02-21,5580.0,5594.0,1,[0.337],5
6376,2020-02-21,5594.0,5494.0,1,[0.557],5
6376,2020-02-22,6015.0,5685.0,1,[3.357],6
6376,2020-02-22,5685.0,5464.0,1,[3.024],6
6376,2020-02-24,9370.0,10548.0,1,[0.706],1
6376,2020-02-25,10571.0,9337.0,1,[0.761],2
6376,2020-02-28,4750.0,4790.0,1,[1.025],5
6376,2020-02-28,4790.0,9506.0,1,[2.899],5
6732,2020-01-13,3419.0,3417.0,1,[0.845],1
6732,2020-01-13,3419.0,3115.0,1,[1.338],1
6732,2020-01-13,3417.0,3419.0,1,[0.85],1
6732,2020-01-14,3419.0,3407.0,1,[0.868],2
6732,2020-01-14,3407.0,3648.0,1,[1.98],2
6732,2020-01-14,3648.0,3419.0,1,[2.1],2
6732,2020-01-15,3417.0,3419.0,1,[0.838],3
6732,2020-01-16,3419.0,2538.0,1,[1.423],4
6732,2020-01-16,2538.0,4024.0,1,[1.707],4
6732,2020-01-18,3433.0,3408.0,1,[0.703],6
6732,2020-01-18,3408.0,1627.0,1,[10.661],6
6732,2020-01-18,1627.0,3408.0,1,[10.661],6
6732,2020-01-20,3459.0,3419.0,2,"[1.461, 1.397]",1
6732,2020-01-20,3419.0,3459.0,1,[1.401],1
6732,2020-01-21,3419.0,4003.0,1,[2.582],2
6732,2020-01-22,3419.0,9886.0,1,[11.145],3
6732,2020-01-24,3419.0,4026.0,1,[2.616],5
6732,2020-01-27,3962.0,3419.0,1,[2.374],1
