device_id,day,source,target,weight,distance,dow
1430,2020-01-29,11264.0,10407.0,1,[2.372],3
1430,2020-02-13,10408.0,8304.0,1,[6.792],4
1430,2020-02-13,8304.0,10407.0,1,[6.691],4
9872,2019-11-30,9659.0,2534.0,1,[11.871],6
14924,2019-09-15,11331.0,8678.0,1,[10.343],7
16708,2020-01-21,8825.0,11264.0,1,[9.125],2
16708,2020-01-21,11264.0,12120.0,1,[4.903],2
16708,2020-01-25,9007.0,12120.0,1,[12.231],6
16708,2020-01-25,12120.0,12110.0,1,[0.378],6
16708,2020-01-25,12110.0,12118.0,1,[0.853],6
16708,2020-01-28,8115.0,9621.0,1,[2.934],2
16708,2020-01-31,8115.0,6698.0,1,[2.012],5
16708,2020-01-31,6698.0,8115.0,1,[1.995],5
16708,2020-02-03,8115.0,8178.0,1,[0.592],1
16708,2020-02-05,8089.0,6964.0,1,[1.856],3
16708,2020-02-05,6964.0,8124.0,1,[1.443],3
16708,2020-02-05,8124.0,8115.0,1,[0.966],3
16708,2020-02-06,4940.0,9621.0,1,[8.451],4
16708,2020-02-07,8115.0,8119.0,1,[0.979],5
16708,2020-02-07,8115.0,8525.0,1,[3.061],5
16708,2020-02-07,8119.0,6953.0,1,[1.338],5
16708,2020-02-07,6953.0,8115.0,1,[1.093],5
16708,2020-02-13,9760.0,8115.0,1,[4.008],4
16708,2020-02-14,6964.0,8115.0,1,[1.518],5
16708,2020-02-17,8115.0,3573.0,1,[6.495],1
16708,2020-02-18,10777.0,8115.0,1,[6.822],2
16708,2020-02-18,8115.0,11456.0,1,[9.741],2
16708,2020-02-18,11456.0,10569.0,1,[4.954],2
16708,2020-02-19,8115.0,11043.0,1,[7.226],3
16708,2020-02-19,11043.0,10575.0,1,[2.315],3
16708,2020-02-25,8115.0,5147.0,1,[9.906],2
16708,2020-02-27,8115.0,8124.0,1,[0.938],4
16708,2020-02-27,8124.0,8115.0,1,[0.939],4
16708,2020-02-28,9877.0,8168.0,1,[4.231],5
18779,2020-02-11,9035.0,9654.0,1,[3.326],2
18779,2020-02-12,8694.0,9508.0,1,[4.049],3
18779,2020-02-18,5267.0,5572.0,1,[1.615],2
18779,2020-02-18,5572.0,5267.0,1,[1.613],2
18779,2020-02-20,9763.0,9959.0,1,[1.07],4
18779,2020-02-20,9959.0,9316.0,1,[2.473],4
19871,2020-01-16,11939.0,11465.0,1,[1.919],4
19871,2020-01-27,11939.0,11465.0,1,[1.949],1
19871,2020-02-03,11356.0,11465.0,1,[1.563],1
19871,2020-02-11,12152.0,11465.0,1,[4.864],2
19871,2020-02-12,11488.0,11465.0,1,[0.908],3
19871,2020-02-18,11465.0,11446.0,1,[0.755],2
19871,2020-02-25,12152.0,11465.0,1,[4.844],2
19871,2020-02-27,11940.0,11465.0,1,[2.07],4
21710,2020-01-16,10784.0,10835.0,1,[0.567],4
21710,2020-01-16,10835.0,10318.0,1,[2.925],4
21710,2020-01-17,10832.0,10782.0,1,[0.434],5
21710,2020-01-17,10782.0,10784.0,1,[0.137],5
21710,2020-01-17,10784.0,11668.0,1,[3.16],5
21710,2020-01-21,10784.0,10833.0,1,[0.533],2
21710,2020-01-21,10833.0,10318.0,1,[2.898],2
21710,2020-01-21,10318.0,10276.0,1,[0.898],2
21710,2020-01-21,10276.0,10331.0,1,[0.934],2
21710,2020-01-22,11656.0,10784.0,1,[3.009],3
21710,2020-01-22,10784.0,10318.0,1,[3.069],3
21710,2020-01-23,10784.0,10318.0,1,[3.011],4
21710,2020-01-27,10833.0,10784.0,1,[0.516],1
21710,2020-01-28,10784.0,10331.0,1,[2.823],2
21710,2020-02-03,10784.0,10318.0,1,[3.028],1
21710,2020-02-05,10784.0,10835.0,1,[0.625],3
21710,2020-02-06,10300.0,10887.0,1,[1.231],4
21710,2020-02-06,10887.0,10917.0,1,[0.697],4
21710,2020-02-06,10887.0,10253.0,1,[0.858],4
21710,2020-02-06,10917.0,10887.0,1,[0.661],4
21710,2020-02-06,10253.0,10241.0,1,[0.582],4
21710,2020-02-06,10241.0,10318.0,1,[1.472],4
21710,2020-02-07,10784.0,10835.0,1,[0.562],5
21710,2020-02-07,10835.0,10318.0,1,[2.904],5
21710,2020-02-10,10786.0,10846.0,1,[0.609],1
21710,2020-02-10,10846.0,10784.0,1,[0.623],1
21710,2020-02-10,10784.0,10835.0,1,[0.624],1
21710,2020-02-10,10835.0,10318.0,1,[2.924],1
21710,2020-02-11,10784.0,10300.0,1,[2.776],2
21710,2020-02-11,10300.0,9498.0,1,[3.884],2
21710,2020-02-12,10784.0,10837.0,1,[0.689],3
21710,2020-02-12,10837.0,11667.0,1,[2.974],3
21710,2020-02-12,11667.0,9728.0,1,[4.507],3
21710,2020-02-13,11656.0,10784.0,1,[3.052],4
21710,2020-02-13,10784.0,10835.0,1,[0.65],4
21710,2020-02-14,10784.0,10835.0,1,[0.627],5
21710,2020-02-17,10833.0,10784.0,1,[0.475],1
21710,2020-02-17,10784.0,10318.0,1,[3.08],1
21710,2020-02-17,10318.0,10333.0,1,[0.441],1
21710,2020-02-18,10784.0,10318.0,1,[3.092],2
21710,2020-02-24,10784.0,10835.0,1,[0.653],1
21710,2020-02-24,10835.0,10318.0,1,[2.925],1
21710,2020-02-25,10784.0,10835.0,1,[0.527],2
21710,2020-02-26,10784.0,10835.0,1,[0.639],3
21710,2020-02-26,10835.0,10318.0,1,[2.78],3
21710,2020-02-27,10857.0,10784.0,2,"[0.408, 0.273]",4
21710,2020-02-27,10784.0,10857.0,1,[0.363],4
25461,2020-01-17,11264.0,9492.0,1,[2.986],5
25461,2020-01-17,9492.0,9436.0,1,[0.741],5
25461,2020-01-17,9436.0,7025.0,1,[4.144],5
25461,2020-01-17,7025.0,6973.0,1,[0.44],5
25461,2020-01-17,6973.0,9718.0,1,[4.898],5
25461,2020-01-24,10265.0,9302.0,1,[4.008],5
25461,2020-01-24,9302.0,8921.0,1,[1.917],5
25461,2020-01-24,8921.0,6988.0,1,[2.34],5
25461,2020-01-24,6988.0,6973.0,1,[0.307],5
25461,2020-01-25,11264.0,9304.0,1,[4.391],6
25461,2020-01-25,9304.0,6990.0,1,[3.703],6
25461,2020-01-25,6990.0,6973.0,1,[0.378],6
25461,2020-01-25,6973.0,9302.0,1,[3.955],6
25461,2020-01-26,9987.0,12120.0,1,[9.276],7
25461,2020-01-27,9013.0,11264.0,1,[5.215],1
25461,2020-01-27,11264.0,11871.0,1,[5.11],1
25461,2020-01-31,10995.0,10770.0,1,[1.436],5
25461,2020-01-31,10770.0,10624.0,1,[0.795],5
25461,2020-01-31,10624.0,10565.0,1,[0.584],5
25461,2020-01-31,10565.0,11722.0,1,[6.641],5
25461,2020-02-01,9302.0,9114.0,1,[0.868],6
25461,2020-02-05,6973.0,9302.0,1,[3.984],3
25461,2020-02-14,9718.0,6973.0,1,[4.078],5
25461,2020-02-14,6973.0,8678.0,1,[0.724],5
25461,2020-02-17,9508.0,9059.0,1,[1.296],1
25461,2020-02-17,9059.0,9125.0,1,[1.329],1
25461,2020-02-18,9508.0,9065.0,1,[1.236],2
25461,2020-02-18,9065.0,9175.0,1,[1.264],2
25461,2020-02-18,9175.0,11871.0,1,[9.737],2
25461,2020-02-27,8157.0,9302.0,1,[3.682],4
