device_id,day,source,target,weight,distance,dow
734,2019-09-05,7160.0,7402.0,1,[1.352],4
734,2019-09-06,6945.0,6967.0,1,[0.653],5
734,2019-09-06,6967.0,6986.0,1,[0.512],5
734,2019-09-06,6986.0,8678.0,1,[0.511],5
734,2019-09-06,8678.0,8683.0,1,[0.297],5
734,2019-09-06,8683.0,7003.0,1,[0.512],5
734,2019-09-09,7848.0,6681.0,1,[0.834],1
734,2019-09-09,6681.0,7983.0,1,[2.394],1
734,2019-09-09,7983.0,8267.0,1,[0.781],1
734,2019-09-09,8267.0,8268.0,1,[0.995],1
734,2019-09-09,8268.0,8341.0,1,[1.943],1
734,2019-09-11,7160.0,1035.0,1,[11.272],3
734,2019-09-11,1035.0,1176.0,1,[0.599],3
734,2019-09-13,1176.0,6638.0,1,[6.855],5
734,2019-09-23,7165.0,9532.0,1,[12.994],1
734,2019-09-23,9532.0,9554.0,1,[0.404],1
734,2019-09-23,9554.0,9522.0,1,[0.312],1
734,2019-09-23,9522.0,10617.0,1,[0.948],1
734,2019-09-24,9563.0,10636.0,1,[0.569],2
734,2019-09-24,10636.0,10746.0,1,[0.401],2
734,2019-09-24,10746.0,11128.0,1,[2.49],2
734,2019-09-24,11128.0,11166.0,1,[0.7],2
734,2019-09-24,11166.0,11143.0,1,[0.806],2
734,2019-09-24,11143.0,11081.0,1,[1.466],2
734,2019-09-24,11081.0,10767.0,1,[0.795],2
734,2019-09-24,10767.0,10777.0,1,[0.626],2
734,2019-09-24,10777.0,9550.0,1,[2.357],2
734,2019-09-26,9522.0,9573.0,1,[0.771],4
734,2019-09-26,9573.0,9527.0,1,[0.62],4
734,2019-09-26,9527.0,10798.0,1,[1.81],4
734,2019-09-26,10798.0,10826.0,1,[0.566],4
734,2019-09-26,10826.0,6876.0,1,[10.757],4
734,2019-09-27,10767.0,11062.0,1,[1.135],5
734,2019-09-27,11062.0,10748.0,1,[1.176],5
734,2019-09-27,10748.0,10638.0,1,[0.696],5
734,2019-09-30,7160.0,7851.0,1,[5.545],1
734,2019-09-30,7851.0,7947.0,1,[1.339],1
734,2019-09-30,7947.0,8428.0,1,[3.79],1
734,2019-09-30,8428.0,8394.0,1,[0.696],1
734,2019-09-30,8394.0,8549.0,1,[2.045],1
734,2019-10-01,7165.0,9377.0,1,[11.437],2
734,2019-10-01,9377.0,9014.0,1,[0.935],2
734,2020-01-10,9114.0,9172.0,1,[0.66],5
734,2020-01-10,9172.0,9442.0,1,[1.155],5
734,2020-01-10,9442.0,9340.0,1,[0.568],5
734,2020-01-13,8924.0,9173.0,1,[1.366],1
734,2020-01-13,9173.0,9287.0,1,[0.36],1
734,2020-01-13,9287.0,9114.0,1,[0.464],1
734,2020-01-13,9114.0,9059.0,1,[0.297],1
734,2020-01-13,9059.0,9118.0,1,[1.58],1
775,2020-01-21,10830.0,3563.0,1,[4.511],2
775,2020-01-27,10830.0,9208.0,1,[3.356],1
775,2020-01-31,3563.0,9208.0,1,[1.646],5
775,2020-02-03,3563.0,9208.0,1,[1.849],1
775,2020-02-04,3563.0,9194.0,1,[1.543],2
775,2020-02-05,9208.0,3563.0,1,[1.732],3
775,2020-02-11,10830.0,3563.0,1,[4.552],2
775,2020-02-11,3563.0,9194.0,1,[0.979],2
775,2020-02-11,9194.0,9208.0,1,[0.662],2
775,2020-02-17,10830.0,11447.0,1,[2.621],1
775,2020-02-17,11447.0,9208.0,1,[5.516],1
775,2020-02-26,3563.0,10830.0,1,[4.483],3
775,2020-02-27,10830.0,3563.0,1,[4.53],4
775,2020-02-27,3563.0,9208.0,1,[1.76],4
4204,2019-11-04,3438.0,3558.0,1,[3.374],1
4204,2019-11-05,4348.0,3438.0,1,[3.692],2
4204,2019-11-08,3648.0,9304.0,1,[5.299],5
4204,2019-11-08,9304.0,9171.0,1,[0.492],5
4204,2019-11-08,9171.0,3648.0,1,[5.143],5
4204,2019-11-18,3438.0,2242.0,1,[10.414],1
4204,2019-11-21,3465.0,2538.0,1,[1.998],4
4204,2019-11-21,2538.0,3465.0,1,[2.042],4
4204,2019-11-22,3438.0,3648.0,1,[0.933],5
4204,2019-11-29,3673.0,9508.0,1,[7.021],5
4204,2019-11-29,9508.0,3649.0,1,[5.798],5
4204,2019-12-12,3465.0,3657.0,1,[2.043],4
4975,2020-02-12,5877.0,2006.0,1,[17.327],3
7274,2020-01-18,998.0,8541.0,1,[16.383],6
9140,2020-01-23,1264.0,2376.0,1,[8.076],4
9140,2020-02-15,1256.0,1409.0,1,[1.467],6
11216,2020-01-15,9508.0,9687.0,1,[2.19],3
11216,2020-01-15,9687.0,8324.0,1,[1.631],3
11216,2020-01-15,9373.0,9099.0,1,[1.591],3
11216,2020-01-15,9099.0,9082.0,1,[0.376],3
11216,2020-01-16,9115.0,8948.0,1,[1.066],4
11216,2020-01-16,8948.0,1638.0,1,[15.726],4
11216,2020-01-16,1638.0,9109.0,1,[16.397],4
11216,2020-01-17,8551.0,9131.0,1,[1.509],5
11216,2020-01-17,9131.0,9153.0,1,[0.667],5
11216,2020-01-17,9153.0,7698.0,1,[9.219],5
11216,2020-01-17,8337.0,9006.0,1,[4.653],5
11216,2020-01-17,9006.0,9131.0,1,[0.722],5
11216,2020-01-19,1636.0,9321.0,1,[17.131],7
11216,2020-01-19,9321.0,9135.0,1,[0.523],7
11216,2020-01-19,1638.0,8904.0,1,[15.195],7
11216,2020-01-19,8904.0,9060.0,1,[2.143],7
11216,2020-01-19,9060.0,9642.0,1,[2.251],7
11216,2020-01-20,9324.0,9194.0,1,[2.699],1
11216,2020-01-21,10114.0,10047.0,1,[1.647],2
11216,2020-01-21,8582.0,4945.0,1,[5.824],2
11216,2020-01-21,8895.0,8956.0,1,[0.744],2
11216,2020-01-21,1627.0,238.0,1,[9.51],2
11216,2020-01-22,8769.0,8749.0,1,[1.419],3
11216,2020-01-22,1638.0,9165.0,1,[15.542],3
11216,2020-01-22,9165.0,8838.0,1,[2.319],3
11216,2020-01-22,1636.0,4257.0,1,[10.628],3
11216,2020-01-24,1636.0,9037.0,1,[16.766],5
11216,2020-01-24,1636.0,9043.0,1,[17.162],5
11216,2020-01-26,1638.0,10994.0,1,[17.197],7
11216,2020-01-26,1638.0,9114.0,1,[16.759],7
