device_id,day,source,target,weight,distance
1,2019-07-06,8921.0,8955.0,1,[0.542]
1,2019-07-06,8955.0,9105.0,1,[0.674]
469,2019-07-06,8988.0,9059.0,1,[1.042]
469,2019-07-07,8775.0,9059.0,1,[0.874]
2387,2019-07-06,8766.0,9421.0,1,[2.279]
2387,2019-07-06,9421.0,8766.0,1,[2.291]
2387,2019-07-07,9592.0,8490.0,1,[0.777]
2387,2019-07-07,8490.0,9592.0,1,[0.751]
3629,2019-07-06,9691.0,8749.0,1,[2.078]
3629,2019-07-06,8749.0,9062.0,1,[1.554]
4746,2019-07-07,8749.0,9099.0,1,[2.571]
8863,2019-07-06,8988.0,8662.0,1,[1.113]
9926,2019-07-06,9492.0,9059.0,1,[1.663]
9926,2019-07-06,9059.0,9126.0,1,[0.464]
9926,2019-07-06,9126.0,9173.0,1,[0.608]
9926,2019-07-07,9302.0,9059.0,1,[0.983]
9926,2019-07-07,9059.0,9171.0,1,[1.031]
10941,2019-07-07,8658.0,9146.0,1,[1.74]
10941,2019-07-07,9146.0,9108.0,1,[0.471]
12051,2019-07-06,8498.0,9034.0,1,[1.475]
12051,2019-07-06,9034.0,9074.0,1,[0.492]
12051,2019-07-06,9074.0,8498.0,1,[1.611]
15963,2019-07-07,6940.0,9381.0,1,[3.893]
15963,2019-07-07,9129.0,9045.0,1,[0.603]
19619,2019-07-06,9366.0,9318.0,1,[0.365]
19619,2019-07-06,9318.0,9520.0,1,[1.413]
19619,2019-07-06,9520.0,9489.0,1,[0.209]
19619,2019-07-06,9489.0,9421.0,1,[0.558]
19619,2019-07-06,9421.0,9034.0,1,[1.539]
19619,2019-07-06,9034.0,9043.0,1,[0.329]
19619,2019-07-06,9043.0,9442.0,1,[1.527]
19754,2019-07-07,9728.0,9697.0,1,[0.495]
19754,2019-07-07,9697.0,8508.0,1,[0.82]
20740,2019-07-07,8749.0,8549.0,1,[1.889]
21871,2019-07-06,9381.0,9032.0,1,[0.928]
24843,2019-07-06,8956.0,9131.0,1,[0.842]
24843,2019-07-06,9041.0,9421.0,1,[1.515]
24843,2019-07-06,9421.0,9411.0,1,[0.576]
24843,2019-07-06,9411.0,9376.0,1,[0.786]
24843,2019-07-06,9376.0,9035.0,1,[0.669]
24843,2019-07-06,9035.0,9036.0,1,[0.51]
25377,2019-07-07,8765.0,8771.0,1,[0.63]
27977,2019-07-07,9150.0,9167.0,1,[0.157]
31034,2019-07-06,9496.0,9115.0,1,[1.73]
31034,2019-07-06,9115.0,9034.0,1,[0.513]
31034,2019-07-06,9034.0,9045.0,1,[0.416]
31034,2019-07-06,9045.0,8974.0,1,[1.079]
31226,2019-07-06,9064.0,8552.0,1,[1.395]
31264,2019-07-06,9059.0,8547.0,1,[1.423]
31264,2019-07-06,8547.0,9131.0,1,[1.468]
31264,2019-07-07,9131.0,9403.0,1,[1.145]
31264,2019-07-07,9403.0,9131.0,1,[1.152]
31306,2019-07-06,9421.0,9044.0,1,[1.157]
32956,2019-07-06,9130.0,9108.0,1,[0.283]
32956,2019-07-07,9034.0,9059.0,1,[0.579]
32956,2019-07-07,9059.0,9129.0,1,[0.654]
33016,2019-07-07,9130.0,9171.0,1,[0.644]
40133,2019-07-07,9508.0,9150.0,1,[1.514]
40133,2019-07-07,9150.0,8157.0,1,[3.197]
42158,2019-07-06,9385.0,8895.0,1,[2.233]
42564,2019-07-06,9508.0,9044.0,1,[1.813]
43307,2019-07-06,9345.0,9382.0,1,[0.505]
43307,2019-07-06,9382.0,9063.0,1,[0.372]
43307,2019-07-06,9063.0,9295.0,1,[0.432]
45787,2019-07-06,9344.0,8971.0,1,[1.612]
45787,2019-07-06,8971.0,9366.0,1,[1.633]
50787,2019-07-07,8967.0,9006.0,1,[0.653]
51118,2019-07-06,9060.0,9383.0,1,[0.372]
