res,cc_obs,bc_obs,ratio
1.0,1895217.3,1860867,0.9818752709781617
1.5,2058728.6,1860867,0.9038913628537535
2.0,2223653.7,1860867,0.836851079824165
2.5,2352412.0,1860867,0.7910463813311613
3.0,2419967.9,1860867,0.7689635056729471
3.5,2484746.1,1860867,0.7489163580938913
4.0,2527718.3,1860867,0.7361844870134462
4.5,2565837.9,1860867,0.7252472964094887
5.0,2608153.6,1860867,0.7134806017559702
5.5,2636211.6,1860867,0.7058868112104506
6.0,2669299.9,1860867,0.697136728623112
6.5,2697145.3,1860867,0.6899394704467721
7.0,2720489.2,1860867,0.6840192565366552
7.5,2735113.9,1860867,0.6803617940737313
8.0,2750341.2,1860867,0.6765949621087012
8.5,2765453.7,1860867,0.6728975429962902
9.0,2780884.4,1860867,0.6691637379820607
9.5,2794632.2,1860867,0.6658718811012053
10.0,2807905.5,1860867,0.6627242262960773
