res,cc_obs,bc_obs,ratio
1.0,1459078.8,1159128,0.7944245369064371
1.5,1484960.1,1159128,0.7805785488781819
2.0,1578045.2,1159128,0.7345340931932749
2.5,1633440.4,1159128,0.7096236875248096
3.0,1673717.5,1159128,0.6925469800011054
3.5,1716080.3,1159128,0.6754509098437876
4.0,1726735.8,1159128,0.6712827752803874
4.5,1735996.4,1159128,0.6677018454646565
5.0,1739808.9,1159128,0.6662386886283891
5.5,1744965.0,1159128,0.6642700569925472
6.0,1748833.6,1159128,0.6628006232268181
6.5,1753033.3,1159128,0.6612127676068674
7.0,1754762.2,1159128,0.6605612999869727
7.5,1755716.6,1159128,0.6602022217025231
8.0,1756227.9,1159128,0.6600100135067892
8.5,1757061.3,1159128,0.6596969610565095
9.0,1759009.9,1159128,0.6589661604519679
9.5,1759972.2,1159128,0.6586058575243404
10.0,1761512.0,1159128,0.6580301468284065
