res,cc_obs,bc_obs,ratio
1.0,265411.6,178396,0.6721484667588004
1.5,263989.3,178396,0.67576981339774
2.0,264707.4,178396,0.6739365805413826
2.5,267471.3,178396,0.6669724938713051
3.0,267301.4,178396,0.6673964296483295
3.5,268020.9,178396,0.6656048091771947
4.0,267621.3,178396,0.6665986601215972
4.5,267728.2,178396,0.6663324969129139
5.0,267117.4,178396,0.6678561561320977
5.5,266905.4,178396,0.6683866268722926
6.0,266770.4,178396,0.6687248660271153
6.5,265922.8,178396,0.6708563537989222
7.0,265057.6,178396,0.6730461605326541
7.5,264526.6,178396,0.6743972061788872
8.0,263360.6,178396,0.6773830254031925
8.5,263246.9,178396,0.6776755965597315
9.0,262797.0,178396,0.6788357553548937
9.5,262658.1,178396,0.6791947402345483
10.0,262330.6,178396,0.6800426637227986
