res,cc_obs,bc_obs,ratio
1.0,261935.8,301335,1.1504154834887022
1.5,315306.1,301335,0.9556903593048153
2.0,328527.5,301335,0.9172291512887049
2.5,333601.9,301335,0.9032772295361626
3.0,337251.2,301335,0.8935031217086847
3.5,340402.9,301335,0.8852304137244423
4.0,343551.7,301335,0.8771168939056334
4.5,345474.7,301335,0.8722346383107069
5.0,347127.9,301335,0.8680806123621869
5.5,348257.9,301335,0.8652639322754774
6.0,349298.6,301335,0.8626859655320692
6.5,350580.0,301335,0.859532774259798
7.0,351995.7,301335,0.8560757986532221
7.5,352912.1,301335,0.8538528432434026
8.0,353911.5,301335,0.8514416739778164
8.5,354573.8,301335,0.8498512862484482
9.0,355297.9,301335,0.8481192824387647
9.5,355942.6,301335,0.8465831288527982
10.0,356613.9,301335,0.8449894970442823
