res,cc_obs,bc_obs,ratio
1.0,96392.5,106194,1.1016832222423945
1.5,113148.2,106194,0.9385390134354766
2.0,117140.0,106194,0.9065562574696944
2.5,118495.8,106194,0.8961836622057491
3.0,119429.9,106194,0.8891743189938198
3.5,120266.9,106194,0.8829860917675604
4.0,121200.9,106194,0.8761816125127784
4.5,121694.3,106194,0.8726292028468055
5.0,122255.2,106194,0.8686256290120993
5.5,122562.5,106194,0.8664477307496176
6.0,122974.9,106194,0.8635420724066456
6.5,123345.9,106194,0.8609447091472031
7.0,123890.7,106194,0.8571587697865942
7.5,124143.1,106194,0.8554160480928863
8.0,124506.2,106194,0.8529213806220092
8.5,124707.7,106194,0.8515432487328369
9.0,124954.5,106194,0.8498613495312294
9.5,125167.4,106194,0.8484158015585528
10.0,125442.6,106194,0.8465545197564464
