res,cc_obs,bc_obs,ratio
1.0,7668.2,9833,1.2823087556401764
1.5,9181.9,9833,1.0709112493056994
2.0,9396.4,9833,1.046464603465157
2.5,9524.5,9833,1.0323901517140008
3.0,9610.1,9833,1.0231943476134484
3.5,9689.5,9833,1.014809845709273
4.0,9755.8,9833,1.0079132413538614
4.5,9812.5,9833,1.0020891719745222
5.0,9842.8,9833,0.9990043483561589
5.5,9855.4,9833,0.9977271343628874
6.0,9883.4,9833,0.9949005402998968
6.5,9927.2,9833,0.9905109194939157
7.0,9943.3,9833,0.9889071032755725
7.5,9962.2,9833,0.987030977093413
8.0,9989.0,9833,0.9843828211032135
8.5,10002.4,9833,0.9830640646244901
9.0,10030.4,9833,0.98031982772372
9.5,10038.8,9833,0.9794995417779018
10.0,10067.1,9833,0.9767460341111144
