res,cc_obs,bc_obs,ratio
1.0,264236.9,319636,1.209656940419752
1.5,298221.7,319636,1.071806645861116
2.0,340520.4,319636,0.9386691663700618
2.5,355125.5,319636,0.9000649066315992
3.0,366234.9,319636,0.8727622626898747
3.5,373889.5,319636,0.8548942936348841
4.0,378715.2,319636,0.8440009801560645
4.5,382246.8,319636,0.8362032069333216
5.0,385181.2,319636,0.8298328163472153
5.5,387703.3,319636,0.8244345611708748
6.0,389783.5,319636,0.8200347115770678
6.5,391346.9,319636,0.8167587375803922
7.0,392395.8,319636,0.8145754873013422
7.5,393567.9,319636,0.8121495680923164
8.0,394342.6,319636,0.8105540715104075
8.5,395408.4,319636,0.8083692708602043
9.0,396052.4,319636,0.8070548240586346
9.5,397006.5,319636,0.8051152814878346
10.0,397881.6,319636,0.8033445125384034
