res,cc_obs,bc_obs,ratio
1.0,568264.9,648388,1.1409960389951939
1.5,631586.9,648388,1.0266014067106204
2.0,704033.6,648388,0.9209617268266742
2.5,727696.3,648388,0.8910145619814199
3.0,747163.0,648388,0.8677999312064436
3.5,761189.4,648388,0.8518090241403782
4.0,769361.7,648388,0.8427609536580779
4.5,775796.4,648388,0.8357708285318158
5.0,780677.2,648388,0.8305455827325302
5.5,784983.4,648388,0.825989441305383
6.0,788691.8,648388,0.8221056691599937
6.5,791376.1,648388,0.8193171363148318
7.0,793287.0,648388,0.8173435339290824
7.5,795450.1,648388,0.8151208982185055
8.0,796871.9,648388,0.8136665378713943
8.5,798845.5,648388,0.8116563215290066
9.0,800102.3,648388,0.8103813724819938
9.5,801939.3,648388,0.8085250342513454
10.0,803528.6,648388,0.8069258517991768
