res,cc_obs,bc_obs,ratio
1.0,13096.4,16921,1.2920344522158762
1.5,15679.4,16921,1.0791867035728409
2.0,16800.9,16921,1.007148426572386
2.5,16976.8,16921,0.996713161490976
3.0,17206.6,16921,0.9834017179454396
3.5,17293.8,16921,0.9784431414726665
4.0,17404.7,16921,0.9722086562824984
4.5,17477.2,16921,0.9681756803149245
5.0,17521.5,16921,0.965727820106726
5.5,17568.0,16921,0.9631716757741348
6.0,17629.4,16921,0.9598171236684174
6.5,17672.8,16921,0.9574600516047259
7.0,17684.4,16921,0.9568320101332247
7.5,17705.7,16921,0.9556809389066797
8.0,17725.5,16921,0.9546134100589546
8.5,17750.2,16921,0.9532850334080742
9.0,17763.4,16921,0.9525766463627457
9.5,17781.8,16921,0.9515909525469863
10.0,17806.5,16921,0.9502709684665712
