res,cc_obs,bc_obs,ratio
1.0,19497.2,33976,1.7426091951664853
1.5,21839.9,33976,1.5556847787764594
2.0,23441.5,33976,1.449395303201587
2.5,23993.1,33976,1.4160737878806824
3.0,24435.7,33976,1.390424665550813
3.5,24796.6,33976,1.370187848334046
4.0,25037.6,33976,1.3569990733936161
4.5,25262.1,33976,1.3449396526812893
5.0,25519.8,33976,1.3313583962256759
5.5,25755.7,33976,1.3191643014944265
6.0,25877.7,33976,1.3129451226345463
6.5,26020.8,33976,1.3057246510483922
7.0,26142.1,33976,1.2996660559021656
7.5,26255.0,33976,1.2940773186059797
8.0,26377.9,33976,1.2880479492302268
8.5,26479.6,33976,1.283100953186604
9.0,26566.8,33976,1.2788894409563816
9.5,26653.0,33976,1.2747533110719245
10.0,26726.1,33976,1.2712666644216704
