res,cc_obs,bc_obs,ratio
1.0,36791.9,63483,1.725461310777644
1.5,40978.3,63483,1.5491857885759046
2.0,43967.2,63483,1.4438717953383433
2.5,44914.5,63483,1.4134188291086398
3.0,45602.2,63483,1.3921038897246187
3.5,46194.6,63483,1.3742515358938059
4.0,46636.6,63483,1.3612270191223204
4.5,47013.6,63483,1.3503113992546838
5.0,47484.0,63483,1.3369345463735154
5.5,47874.6,63483,1.3260267448709755
6.0,48096.6,63483,1.31990618879505
6.5,48378.3,63483,1.3122205616981166
7.0,48552.4,63483,1.3075151794761948
7.5,48767.7,63483,1.3017427518624007
8.0,48949.6,63483,1.2969053883994968
8.5,49131.8,63483,1.2920959541478227
9.0,49277.9,63483,1.2882651249343011
9.5,49421.1,63483,1.2845323151447459
10.0,49558.0,63483,1.2809838976552725
