res,cc_obs,bc_obs,ratio
1.0,13799.3,22236,1.611386084801403
1.5,15126.5,22236,1.470002974911579
2.0,16084.2,22236,1.3824747267504756
2.5,16470.8,22236,1.350025499672147
3.0,16686.3,22236,1.3325902087341113
3.5,16822.2,22236,1.3218247316046652
4.0,16985.4,22236,1.3091243067575682
4.5,17071.7,22236,1.3025064873445527
5.0,17237.7,22236,1.2899632781635602
5.5,17336.9,22236,1.2825822378856657
6.0,17392.6,22236,1.2784747536308545
6.5,17498.1,22236,1.27076654036724
7.0,17550.5,22236,1.266972450927324
7.5,17612.5,22236,1.262512420156139
8.0,17647.4,22236,1.2600156396976323
8.5,17719.6,22236,1.2548816000361183
9.0,17778.5,22236,1.2507241893298084
9.5,17829.2,22236,1.2471675678101093
10.0,17888.7,22236,1.243019336229016
