res,cc_obs,bc_obs,ratio
1.0,1398.4,2285,1.6340102974828374
1.5,1528.0,2285,1.4954188481675392
2.0,1610.0,2285,1.4192546583850931
2.5,1626.5,2285,1.4048570550261297
3.0,1627.2,2285,1.404252704031465
3.5,1642.1,2285,1.3915108702271481
4.0,1649.3,2285,1.3854362456799856
4.5,1649.1,2285,1.3856042689952095
5.0,1654.0,2285,1.3814993954050785
5.5,1666.8,2285,1.3708903287736982
6.0,1672.0,2285,1.3666267942583732
6.5,1680.3,2285,1.3598762125810868
7.0,1682.7,2285,1.3579366494324596
7.5,1685.9,2285,1.3553591553472921
8.0,1684.5,2285,1.356485604036806
8.5,1689.4,2285,1.352551201610039
9.0,1694.3,2285,1.3486395561588858
9.5,1698.0,2285,1.345700824499411
10.0,1698.3,2285,1.3454631101689924
