res,cc_obs,bc_obs,ratio
1.0,8217.7,13450,1.6367110018618347
1.5,8942.1,13450,1.5041209559275786
2.0,9521.9,13450,1.4125332129091883
2.5,9721.3,13450,1.383559811959306
3.0,9853.0,13450,1.3650664772150614
3.5,9961.8,13450,1.350157602039792
4.0,10068.4,13450,1.3358626991378968
4.5,10123.8,13450,1.3285525198048165
5.0,10212.0,13450,1.31707794751273
5.5,10290.1,13450,1.307081563833199
6.0,10314.0,13450,1.3040527438433198
6.5,10379.8,13450,1.295786045973911
7.0,10416.2,13450,1.291257848351606
7.5,10450.9,13450,1.2869705001483127
8.0,10476.7,13450,1.283801196941785
8.5,10503.2,13450,1.2805621144032293
9.0,10545.6,13450,1.2754134425732058
9.5,10567.8,13450,1.2727341546963418
10.0,10597.6,13450,1.2691552804408546
