res,cc_obs,bc_obs,ratio
1.0,229083.0,254525,1.1110601834269676
1.5,269140.0,254525,0.9456974065542098
2.0,277468.8,254525,0.9173103426403257
2.5,281321.7,254525,0.9047471275767208
3.0,283744.0,254525,0.8970233731814593
3.5,285461.6,254525,0.8916260540822304
4.0,286876.9,254525,0.8872272392792866
4.5,287992.5,254525,0.8837903764854987
5.0,288900.4,254525,0.8810129719446563
5.5,289799.2,254525,0.8782805473583087
6.0,290588.9,254525,0.8758937454252381
6.5,291420.1,254525,0.8733954864472286
7.0,292144.1,254525,0.8712310123668423
7.5,292678.3,254525,0.8696408309054686
8.0,293048.4,254525,0.8685425342707893
8.5,293866.6,254525,0.86612428904816
9.0,294488.3,254525,0.864295797150515
9.5,294856.0,254525,0.8632179775890604
10.0,295279.5,254525,0.8619799207191831
