res,cc_obs,bc_obs,ratio
1.0,10194.0,11690,1.1467529919560526
1.5,11838.9,11690,0.9874228179982938
2.0,12155.0,11690,0.9617441382147265
2.5,12290.5,11690,0.9511411252593467
3.0,12368.6,11690,0.9451352618728069
3.5,12425.1,11690,0.9408374982897522
4.0,12458.8,11690,0.9382926124506373
4.5,12485.3,11690,0.9363010900819364
5.0,12518.0,11690,0.9338552484422432
5.5,12544.4,11690,0.9318899269793693
6.0,12570.5,11690,0.9299550534982698
6.5,12602.9,11690,0.9275642907584762
7.0,12631.2,11690,0.9254860979162708
7.5,12643.5,11690,0.9245857555265552
8.0,12649.7,11690,0.9241325881246195
8.5,12691.0,11690,0.9211252068394925
9.0,12707.6,11690,0.9199219364789575
9.5,12714.8,11690,0.9194010129927329
10.0,12735.1,11690,0.917935469686143
