res,cc_obs,bc_obs,ratio
1.0,134419.1,145734,1.08417628149571
1.5,155372.8,145734,0.9379634015735059
2.0,159359.2,145734,0.91450007279153
2.5,161022.5,145734,0.90505364157183
3.0,162187.3,145734,0.898553709199179
3.5,162950.2,145734,0.8943468618019492
4.0,163531.1,145734,0.8911699364830298
4.5,164005.7,145734,0.8885910672616866
5.0,164507.8,145734,0.8858789674410575
5.5,164925.5,145734,0.8836353383800565
6.0,165336.8,145734,0.8814371634143155
6.5,165741.1,145734,0.879287032606879
7.0,166100.8,145734,0.8773828903894503
7.5,166360.5,145734,0.8760132363151109
8.0,166478.0,145734,0.8753949470800947
8.5,166927.8,145734,0.8730361269962224
9.0,167187.8,145734,0.871678435866732
9.5,167401.9,145734,0.8705635957536922
10.0,167626.9,145734,0.8693950672594912
