res,cc_obs,bc_obs,ratio
1.0,9727.6,24536,2.522307660676837
1.5,11516.9,24536,2.130434405091648
2.0,12011.7,24536,2.042675058484644
2.5,12245.3,24536,2.003707544935608
3.0,12404.9,24536,1.977928076808358
3.5,12529.8,24536,1.958211623489601
4.0,12637.3,24536,1.941553971180553
4.5,12723.8,24536,1.9283547367924678
5.0,12805.7,24536,1.9160217715548544
5.5,12862.8,24536,1.9075162484062569
6.0,12917.2,24536,1.8994828600625522
6.5,12966.2,24536,1.892304607363761
7.0,13032.7,24536,1.8826490289809479
7.5,13089.4,24536,1.8744938652650236
8.0,13115.2,24536,1.8708063925826521
8.5,13153.1,24536,1.8654157575020336
9.0,13204.6,24536,1.858140345031277
9.5,13242.9,24536,1.8527663880267917
10.0,13276.1,24536,1.8481331113806012
