res,cc_obs,bc_obs,ratio
1.0,893.4,1715,1.9196328632191628
1.5,1023.1,1715,1.67627797869221
2.0,1066.9,1715,1.607460867935139
2.5,1081.3,1715,1.5860538241006197
3.0,1095.0,1715,1.5662100456621004
3.5,1109.7,1715,1.5454627376768495
4.0,1111.8,1715,1.5425436229537688
4.5,1121.3,1715,1.5294747168465175
5.0,1124.7,1715,1.5248510713968169
5.5,1129.5,1715,1.5183709606020364
6.0,1133.1,1715,1.5135469067160887
6.5,1137.5,1715,1.5076923076923077
7.0,1139.9,1715,1.5045179401701902
7.5,1139.6,1715,1.504914004914005
8.0,1143.3,1715,1.5000437330534417
8.5,1148.9,1715,1.4927321786056227
9.0,1143.6,1715,1.4996502273522212
9.5,1150.9,1715,1.4901381527500217
10.0,1148.4,1715,1.4933820968303726
