res,cc_obs,bc_obs,ratio
1.0,2226.5,3818,1.7147990119020884
1.5,2507.8,3818,1.522449956136853
2.0,2624.6,3818,1.454697858721329
2.5,2698.9,3818,1.4146504131312756
3.0,2760.5,3818,1.3830827748596268
3.5,2799.8,3818,1.3636688334881062
4.0,2821.5,3818,1.3531809321283006
4.5,2849.3,3818,1.3399782402695397
5.0,2864.1,3818,1.333054013477183
5.5,2903.3,3818,1.315055281920573
6.0,2939.9,3818,1.2986836286948535
6.5,2965.0,3818,1.287689713322091
7.0,2991.8,3818,1.2761548231833677
7.5,3004.9,3818,1.2705913674331923
8.0,3027.7,3818,1.2610232189450739
8.5,3040.4,3818,1.2557558216024207
9.0,3048.6,3818,1.2523781407859345
9.5,3057.9,3818,1.2485692795709473
10.0,3069.4,3818,1.2438913142633738
