res,cc_obs,bc_obs,ratio
1.0,2663.2,4586,1.721988585160709
1.5,2989.9,4586,1.5338305628950801
2.0,3124.4,4586,1.4678018179490462
2.5,3206.2,4586,1.4303536897261557
3.0,3278.7,4586,1.3987251044621345
3.5,3324.3,4586,1.379538549469061
4.0,3353.5,4586,1.367526464887431
4.5,3385.5,4586,1.3546005021414858
5.0,3410.6,4586,1.3446314431478332
5.5,3461.5,4586,1.3248591651018344
6.0,3504.9,4586,1.3084538788553168
6.5,3534.6,4586,1.2974594013466871
7.0,3561.2,4586,1.2877681680332473
7.5,3576.3,4586,1.2823309006515113
8.0,3604.4,4586,1.2723338142270557
8.5,3619.3,4586,1.267095847263283
9.0,3628.2,4586,1.2639876522793672
9.5,3640.0,4586,1.2598901098901099
10.0,3654.8,4586,1.2547882237058114
