res,cc_obs,bc_obs,ratio
1.0,184.9,340,1.8388318009734992
1.5,208.4,340,1.6314779270633397
2.0,219.4,340,1.5496809480401093
2.5,229.5,340,1.4814814814814814
3.0,235.5,340,1.443736730360934
3.5,241.7,340,1.406702523789822
4.0,239.6,340,1.4190317195325544
4.5,241.2,340,1.4096185737976783
5.0,245.5,340,1.384928716904277
5.5,250.7,340,1.3562026326286398
6.0,250.6,340,1.3567438148443736
6.5,251.6,340,1.3513513513513513
7.0,250.4,340,1.3578274760383386
7.5,250.3,340,1.3583699560527367
8.0,252.2,340,1.3481363996827915
8.5,253.7,340,1.340165549862042
9.0,253.8,340,1.3396375098502757
9.5,254.8,340,1.334379905808477
10.0,255.4,340,1.331245105716523
