res,cc_obs,bc_obs,ratio
1.0,4956.6,11012,2.221684219021103
1.5,5275.3,11012,2.0874642200443576
2.0,5419.2,11012,2.032034248597579
2.5,5491.5,11012,2.0052808886460896
3.0,5589.3,11012,1.9701930474299107
3.5,5648.4,11012,1.9495786417392538
4.0,5695.4,11012,1.9334901850616288
4.5,5696.7,11012,1.9330489581687644
5.0,5730.8,11012,1.9215467299504432
5.5,5755.4,11012,1.9133335649998264
6.0,5777.7,11012,1.9059487339252645
6.5,5791.1,11012,1.9015385678023173
7.0,5805.7,11012,1.8967566357200683
7.5,5819.0,11012,1.8924213782436845
8.0,5829.1,11012,1.8891424062033588
8.5,5836.2,11012,1.886844179431822
9.0,5851.1,11012,1.882039274666302
9.5,5863.7,11012,1.877995122533554
10.0,5865.7,11012,1.8773547914144946
