res,cc_obs,bc_obs,ratio
1.0,16130.6,36728,2.2769146838927257
1.5,18361.7,36728,2.0002505214658775
2.0,18923.9,36728,1.940826151057657
2.5,19295.3,36728,1.9034687203619536
3.0,19580.1,36728,1.8757820440140756
3.5,19746.3,36728,1.8599940241969382
4.0,19915.8,36728,1.8441639301459143
4.5,20014.2,36728,1.8350970810724385
5.0,20138.6,36728,1.8237613339556873
5.5,20227.7,36728,1.8157279374323327
6.0,20305.1,36728,1.808806654485819
6.5,20365.0,36728,1.803486373680334
7.0,20438.1,36728,1.797035927997221
7.5,20517.3,36728,1.790099087111852
8.0,20572.6,36728,1.785287226699591
8.5,20641.2,36728,1.779353913532159
9.0,20714.9,36728,1.7730232827578216
9.5,20792.4,36728,1.7664146515072814
10.0,20814.3,36728,1.7645560984515454
