res,cc_obs,bc_obs,ratio
1.0,3118.5,7064,2.265191598524932
1.5,3444.2,7064,2.050984263399338
2.0,3517.2,7064,2.0084157852837485
2.5,3565.4,7064,1.9812643742637572
3.0,3604.1,7064,1.959990011375933
3.5,3616.5,7064,1.9532697359325315
4.0,3659.0,7064,1.9305821262640066
4.5,3667.1,7064,1.9263177988055957
5.0,3692.1,7064,1.9132742883453862
5.5,3702.6,7064,1.9078485388645816
6.0,3720.7,7064,1.8985674738624454
6.5,3726.3,7064,1.8957142473767543
7.0,3740.4,7064,1.8885680675863543
7.5,3745.7,7064,1.8858958272152069
8.0,3759.8,7064,1.8788233416671098
8.5,3772.2,7064,1.8726472615449872
9.0,3777.2,7064,1.870168378693212
9.5,3792.9,7064,1.8624271665480239
10.0,3804.9,7064,1.8565533916791506
