res,cc_obs,bc_obs,ratio
1.0,158.3,246,1.5540113708149084
1.5,182.7,246,1.3464696223316914
2.0,192.6,246,1.2772585669781933
2.5,204.3,246,1.2041116005873715
3.0,208.2,246,1.181556195965418
3.5,210.8,246,1.1669829222011385
4.0,215.0,246,1.1441860465116278
4.5,218.0,246,1.128440366972477
5.0,218.1,246,1.1279229711141678
5.5,221.9,246,1.1086074808472284
6.0,219.5,246,1.1207289293849658
6.5,221.1,246,1.112618724559023
7.0,222.4,246,1.106115107913669
7.5,221.2,246,1.112115732368897
8.0,222.8,246,1.104129263913824
8.5,222.1,246,1.1076091850517784
9.0,223.6,246,1.1001788908765653
9.5,224.6,246,1.0952804986642921
10.0,224.1,246,1.0977242302543508
