res,cc_obs,bc_obs,ratio
1.0,1655.4,2859,1.727075027183762
1.5,1811.7,2859,1.5780758403709223
2.0,1888.8,2859,1.5136594663278273
2.5,1938.9,2859,1.4745474237969982
3.0,1994.9,2859,1.433154544087423
3.5,2029.0,2859,1.409068506653524
4.0,2062.7,2859,1.3860474135841374
4.5,2079.6,2859,1.3747836122331218
5.0,2091.7,2859,1.3668308074771718
5.5,2107.2,2859,1.3567767653758542
6.0,2114.2,2859,1.3522845520764357
6.5,2115.0,2859,1.3517730496453901
7.0,2121.3,2859,1.347758450007071
7.5,2130.4,2859,1.3420015020653397
8.0,2140.3,2859,1.3357940475634256
8.5,2141.1,2859,1.335294941852319
9.0,2150.6,2859,1.3293964475030224
9.5,2154.3,2859,1.3271132154296057
10.0,2157.8,2859,1.3249606080266938
