res,cc_obs,bc_obs,ratio
1.0,2368267.5,2268857,0.9580239563309466
1.5,2756436.25,2268857,0.8231124518116463
2.0,2885490.65,2268857,0.7862985104457019
2.5,3059315.85,2268857,0.7416223467086603
3.0,3148596.35,2268857,0.7205931620926893
3.5,3202958.05,2268857,0.7083630083759606
4.0,3279637.85,2268857,0.6918010779757283
4.5,3323653.15,2268857,0.6826395227191502
5.0,3348263.9,2268857,0.6776219162414289
5.5,3370910.3,2268857,0.6730695266498192
6.0,3391562.8,2268857,0.6689709534495425
6.5,3415861.05,2268857,0.6642123221025048
7.0,3438855.5,2268857,0.6597709615888193
7.5,3456534.35,2268857,0.6563964856880419
8.0,3472939.4,2268857,0.6532958795653042
8.5,3486272.3,2268857,0.6507974147630408
9.0,3497699.65,2268857,0.6486711916502036
9.5,3505782.4,2268857,0.647175649007765
10.0,3512648.8,2268857,0.6459105732403422
