res,cc_obs,bc_obs,ratio
1.0,4689019.95,4410835,0.94067311443194
1.5,5362360.55,4410835,0.8225547235909006
2.0,5586990.15,4410835,0.7894832247019443
2.5,5886351.2,4410835,0.7493326256170376
3.0,6036290.35,4410835,0.7307194889987358
3.5,6126984.3,4410835,0.7199031014327881
4.0,6272165.15,4410835,0.7032396141546113
4.5,6359228.95,4410835,0.693611605224561
5.0,6402018.8,4410835,0.6889756399965586
5.5,6437564.7,4410835,0.6851713661223474
6.0,6470794.2,4410835,0.6816528023716161
6.5,6509249.65,4410835,0.677625722958713
7.0,6549560.55,4410835,0.6734551068468251
7.5,6577168.7,4410835,0.6706282294386032
8.0,6607693.9,4410835,0.6675301651004142
8.5,6630403.95,4410835,0.6652437820172329
9.0,6650758.8,4410835,0.6632077831479921
9.5,6663028.1,4410835,0.6619865523304638
10.0,6673541.2,4410835,0.6609436980774165
