res,cc_obs,bc_obs,ratio
1.0,1691564.95,1364904,0.8068883196001431
1.5,1795369.35,1364904,0.7602357698709739
2.0,1857350.9,1364904,0.7348659857434586
2.5,1919455.25,1364904,0.7110892530576058
3.0,1965036.45,1364904,0.6945947491203026
3.5,1978707.5,1364904,0.6897957378743448
4.0,1997776.25,1364904,0.6832116459488393
4.5,2021186.9,1364904,0.6752982616303322
5.0,2029558.9,1364904,0.6725126331637875
5.5,2032266.35,1364904,0.6716166904008424
6.0,2034713.6,1364904,0.670808904014796
6.5,2037909.45,1364904,0.669756941359686
7.0,2041374.6,1364904,0.6686200563091164
7.5,2043751.25,1364904,0.667842527313439
8.0,2045277.65,1364904,0.6673441134019139
8.5,2046285.95,1364904,0.6670152820039643
9.0,2046567.95,1364904,0.6669233728594255
9.5,2046576.5,1364904,0.6669205866479948
10.0,2046075.05,1364904,0.6670840348695909
