res,cc_obs,bc_obs,ratio
1.0,316560.1,224280,0.7084910574642856
1.5,324875.85,224280,0.6903560236933586
2.0,323273.9,224280,0.6937770107639373
2.5,338272.65,224280,0.6630154699175355
3.0,338924.55,224280,0.6617402014696191
3.5,338877.45,224280,0.6618321756139277
4.0,338365.25,224280,0.6628340232928766
4.5,338113.7,224280,0.6633271588817607
5.0,337636.45,224280,0.6642647735456287
5.5,337022.55,224280,0.6654747582913962
6.0,336679.25,224280,0.6661533195170181
6.5,336344.3,224280,0.6668167113282432
7.0,336579.35,224280,0.6663510402524695
7.5,336346.1,224280,0.6668131427716867
8.0,336509.25,224280,0.6664898513190946
8.5,336112.6,224280,0.6672763829740391
9.0,335874.95,224280,0.667748517714703
9.5,335523.2,224280,0.6684485603380035
10.0,335267.05,224280,0.6689592669485415
