res,cc_obs,bc_obs,ratio
1.0,2739749.8,2317929,0.8460367439391729
1.5,3043070.75,2317929,0.7617072327352231
2.0,3152534.1,2317929,0.7352589778489628
2.5,3275028.9,2317929,0.7077583345905741
3.0,3344463.55,2317929,0.6930645125434243
3.5,3385692.1,2317929,0.6846248659173703
4.0,3429522.2,2317929,0.6758751991749754
4.5,3453874.9,2317929,0.6711097150623493
5.0,3464611.45,2317929,0.6690300004636883
5.5,3474226.7,2317929,0.6671783968501537
6.0,3481839.95,2317929,0.665719571630511
6.5,3490291.7,2317929,0.6641075300382486
7.0,3499934.7,2317929,0.6622777847826703
7.5,3507149.85,2317929,0.6609153013521791
8.0,3513015.65,2317929,0.6598117489172017
8.5,3516483.1,2317929,0.6591611374443972
9.0,3520617.1,2317929,0.658387133323871
9.5,3522244.4,2317929,0.6580829541527555
10.0,3522498.45,2317929,0.6580354918254115
