res,cc_obs,bc_obs,ratio
1.0,463582.3,503675,1.0864845357555715
1.5,527483.9,503675,0.9548632669167723
2.0,562303.2,503675,0.8957356102543966
2.5,582523.4,503675,0.8646433774162549
3.0,591068.4,503675,0.8521433390788612
3.5,596390.4,503675,0.844539080441268
4.0,600013.6,503675,0.8394393060423964
4.5,602604.4,503675,0.8358302727295054
5.0,605357.3,503675,0.8320292825410711
5.5,608540.5,503675,0.8276770403941891
6.0,610588.9,503675,0.824900354395568
6.5,612142.8,503675,0.8228063778582383
7.0,613843.6,503675,0.820526596677069
7.5,614960.9,503675,0.8190358118703156
8.0,615912.2,503675,0.8177707796663226
8.5,616792.3,503675,0.8166039037776573
9.0,617558.5,503675,0.815590749702255
9.5,618422.0,503675,0.8144519438182989
10.0,619336.2,503675,0.8132497341508538
