res,cc_obs,bc_obs,ratio
1.0,33229.9,33532,1.0090912100247067
1.5,36643.4,33532,0.9150897569548677
2.0,37292.9,33532,0.899152385574734
2.5,37600.1,33532,0.8918061388134606
3.0,37764.2,33532,0.8879308975166957
3.5,37855.8,33532,0.885782363600822
4.0,37951.6,33532,0.8835464117454864
4.5,38018.9,33532,0.8819823824466252
5.0,38099.8,33532,0.8801096068745767
5.5,38173.7,33532,0.8784058134265215
6.0,38226.6,33532,0.8771902287935627
6.5,38253.9,33532,0.8765642195959105
7.0,38317.6,33532,0.8751070004384408
7.5,38360.2,33532,0.8741351713494716
8.0,38398.0,33532,0.8732746497213396
8.5,38454.5,33532,0.8719915744581258
9.0,38499.7,33532,0.8709678257233174
9.5,38537.3,33532,0.8701180414818889
10.0,38590.0,33532,0.868929774552993
