res,cc_obs,bc_obs,ratio
1.0,63156.0,75531,1.1959433783013491
1.5,74165.8,75531,1.0184074061090151
2.0,79756.8,75531,0.9470164299470389
2.5,84315.4,75531,0.8958149993951283
3.0,85591.6,75531,0.8824580916818939
3.5,86209.7,75531,0.8761311082163609
4.0,86728.9,75531,0.8708861751965031
4.5,87121.0,75531,0.8669666326144099
5.0,87453.3,75531,0.863672382860338
5.5,87711.1,75531,0.8611338815725718
6.0,87973.7,75531,0.8585634115650473
6.5,88071.1,75531,0.8576139051289242
7.0,88272.9,75531,0.8556533205547796
7.5,88391.4,75531,0.8545062076174832
8.0,88477.3,75531,0.8536765927531694
8.5,88583.6,75531,0.8526521839256928
9.0,88746.4,75531,0.851088044134748
9.5,88792.3,75531,0.8506480854758802
10.0,88891.5,75531,0.8496987900980408
