res,cc_obs,bc_obs,ratio
1.0,143115.9,174121,1.216643294001575
1.5,182553.8,174121,0.9538064943046927
2.0,193523.5,174121,0.8997408583453689
2.5,196798.1,174121,0.8847697208458821
3.0,198836.1,174121,0.8757011428005277
3.5,200302.7,174121,0.8692893305981396
4.0,201400.7,174121,0.8645501232120841
4.5,202416.3,174121,0.860212344559208
5.0,203221.0,174121,0.8568061371610217
5.5,203903.0,174121,0.8539403539918491
6.0,204506.2,174121,0.8514216194912427
6.5,205138.9,174121,0.8487956209183144
7.0,205532.4,174121,0.8471705677547676
7.5,206062.5,174121,0.8449912041249621
8.0,206421.7,174121,0.8435208120076523
8.5,206976.7,174121,0.8412589436395497
9.0,207323.6,174121,0.8398513242100755
9.5,207675.5,174121,0.8384282209504732
10.0,208032.7,174121,0.8369886080409473
