res,cc_obs,bc_obs,ratio
1.0,91107.8,101568,1.1148112455794126
1.5,105097.1,101568,0.9664205767809007
2.0,108862.4,101568,0.9329943120857156
2.5,110184.5,101568,0.9217993456429897
3.0,111020.5,101568,0.9148580667534374
3.5,111618.5,101568,0.9099566828079575
4.0,112142.9,101568,0.905701564700039
4.5,112585.7,101568,0.902139436891186
5.0,112949.3,101568,0.8992353206261571
5.5,113338.3,101568,0.8961489628836854
6.0,113601.9,101568,0.8940695534141595
6.5,114007.7,101568,0.8908871944614267
7.0,114229.2,101568,0.8891596894664412
7.5,114463.2,101568,0.8873419579393202
8.0,114681.9,101568,0.885649784316444
8.5,114958.4,101568,0.8835196036131332
9.0,115152.4,101568,0.8820311170240481
9.5,115322.4,101568,0.8807308900959397
10.0,115508.5,101568,0.8793119121103642
