res,cc_obs,bc_obs,ratio
1.0,57812.8,63131,1.0919900091329255
1.5,66087.5,63131,0.9552638547380367
2.0,68204.6,63131,0.9256120554918582
2.5,68998.9,63131,0.9149566152503881
3.0,69486.2,63131,0.9085401130008549
3.5,69843.8,63131,0.9038883909523823
4.0,70163.3,63131,0.8997723881288365
4.5,70484.1,63131,0.8956771810947433
5.0,70715.7,63131,0.8927437612863904
5.5,70896.3,63131,0.8904696013755301
6.0,71100.2,63131,0.8879159271000645
6.5,71352.7,63131,0.8847738067375166
7.0,71508.7,63131,0.8828436260203304
7.5,71679.2,63131,0.8807436466924854
8.0,71808.1,63131,0.8791626571375651
8.5,71949.9,63131,0.8774299894787901
9.0,72045.9,63131,0.8762608281664884
9.5,72138.1,63131,0.875140875626056
10.0,72230.6,63131,0.8740201521238921
