res,cc_obs,bc_obs,ratio
1.0,28938.4,46226,1.5973930832388799
1.5,34133.5,46226,1.3542707310999458
2.0,35925.5,46226,1.286718347691751
2.5,36736.0,46226,1.2583297038327526
3.0,37310.0,46226,1.2389707853122487
3.5,37739.4,46226,1.2248737393811242
4.0,38116.4,46226,1.2127588124796675
4.5,38381.4,46226,1.204385457539329
5.0,38633.3,46226,1.1965325250496333
5.5,38793.1,46226,1.1916036614758811
6.0,38962.7,46226,1.1864167524324547
6.5,39119.7,46226,1.1816552785425247
7.0,39260.3,46226,1.177423504150503
7.5,39388.3,46226,1.1735972357273605
8.0,39551.1,46226,1.1687664818424772
8.5,39735.1,46226,1.1633543139440947
9.0,39849.1,46226,1.1600261988351055
9.5,39979.3,46226,1.156248358525537
10.0,40094.2,46226,1.1529348384554374
