res,cc_obs,bc_obs,ratio
1.0,58943.0,94232,1.5986970462989667
1.5,70734.1,94232,1.3322004521157405
2.0,74579.6,94232,1.2635090560957687
2.5,76305.8,94232,1.234925785457986
3.0,77405.0,94232,1.2173890575544215
3.5,78204.0,94232,1.2049511533936883
4.0,78877.8,94232,1.194658066021111
4.5,79346.2,94232,1.187605707645735
5.0,79825.1,94232,1.1804808262062934
5.5,80129.8,94232,1.1759919530561662
6.0,80465.2,94232,1.1710901110045089
6.5,80770.7,94232,1.1666606826485346
7.0,81060.3,94232,1.1624926135235127
7.5,81281.5,94232,1.1593289986036184
8.0,81601.5,94232,1.154782693945577
8.5,81976.4,94232,1.1495015638647221
9.0,82210.5,94232,1.1462282798425991
9.5,82453.8,94232,1.1428460543965226
10.0,82701.1,94232,1.139428617031696
