res,cc_obs,bc_obs,ratio
1.0,15128.2,23572,1.5581496807287052
1.5,17378.6,23572,1.356380836200845
2.0,18199.0,23572,1.2952360019781306
2.5,18576.7,23572,1.2689013656892774
3.0,18828.0,23572,1.2519651582749096
3.5,18989.5,23572,1.2413175702361832
4.0,19134.2,23572,1.2319302609986307
4.5,19230.6,23572,1.2257547866421226
5.0,19347.9,23572,1.2183234356183357
5.5,19441.8,23572,1.212439177442418
6.0,19525.7,23572,1.2072294463194662
6.5,19584.8,23572,1.203586454801683
7.0,19652.5,23572,1.1994402747742017
7.5,19726.4,23572,1.1949468732257278
8.0,19799.8,23572,1.1905170759300598
8.5,19900.5,23572,1.1844928519383935
9.0,19950.7,23572,1.1815124281353535
9.5,20011.4,23572,1.1779285807089959
10.0,20063.6,23572,1.174863932694033
