res,cc_obs,bc_obs,ratio
1.0,4424.6,5705,1.2893820910364777
1.5,4799.6,5705,1.1886407200600049
2.0,4909.3,5705,1.1620801336239381
2.5,4958.4,5705,1.1505727654081963
3.0,4985.7,5705,1.14427261969232
3.5,5013.7,5705,1.1378822027644255
4.0,5038.4,5705,1.1323039060019056
4.5,5054.7,5705,1.1286525411992798
5.0,5076.0,5705,1.1239164696611506
5.5,5083.3,5705,1.122302441327484
6.0,5099.3,5705,1.1187810091581196
6.5,5104.7,5705,1.1175975081787373
7.0,5111.9,5705,1.1160233963888184
7.5,5119.3,5705,1.1144101732658762
8.0,5137.6,5705,1.1104406726876361
8.5,5161.4,5705,1.1053202619444338
9.0,5171.0,5705,1.1032682266486173
9.5,5184.5,5705,1.100395409393384
10.0,5194.3,5705,1.0983193115530485
