res,cc_obs,bc_obs,ratio
1.0,31832.9,46492,1.4605015565656914
1.5,36252.6,46492,1.282445948704369
2.0,37688.1,46492,1.2335989344116578
2.5,38320.2,46492,1.2132504527638166
3.0,38752.1,46492,1.1997285308409094
3.5,39082.1,46492,1.1895983071534026
4.0,39348.7,46492,1.181538398981415
4.5,39575.6,46492,1.1747642486784786
5.0,39796.6,46492,1.1682405029575391
5.5,39923.6,46492,1.1645242413008847
6.0,40090.7,46492,1.1596704472608361
6.5,40240.0,46492,1.1553677932405566
7.0,40340.7,46492,1.1524837199156188
7.5,40489.2,46492,1.148256819102378
8.0,40646.5,46492,1.1438131204408744
8.5,40821.4,46492,1.138912433184555
9.0,40929.2,46492,1.1359127468897512
9.5,41026.0,46492,1.133232584214888
10.0,41108.9,46492,1.1309473131122458
