res,cc_obs,bc_obs,ratio
1.0,15633.5,26013,1.6639268238078486
1.5,17426.0,26013,1.4927694249971308
2.0,18328.9,26013,1.4192341057019242
2.5,18872.0,26013,1.3783912674862229
3.0,19165.9,26013,1.3572542901716067
3.5,19378.2,26013,1.3423847416168684
4.0,19608.3,26013,1.3266320894723154
4.5,19762.8,26013,1.3162608537251808
5.0,19917.7,26013,1.3060242899531571
5.5,20092.2,26013,1.294681518201093
6.0,20250.3,26013,1.2845735618731575
6.5,20399.4,26013,1.2751845642518898
7.0,20483.8,26013,1.2699303840107794
7.5,20579.5,26013,1.2640248791272868
8.0,20666.5,26013,1.2587036992233809
8.5,20774.9,26013,1.2521359910276342
9.0,20866.6,26013,1.246633375825482
9.5,20972.4,26013,1.240344452709275
10.0,21029.2,26013,1.2369942746276605
