res,cc_obs,bc_obs,ratio
1.0,26886.3,45304,1.6850217396964253
1.5,29572.0,45304,1.5319897200054104
2.0,31041.1,45304,1.4594843610567925
2.5,31875.3,45304,1.4212885839505824
3.0,32300.3,45304,1.4025875920657085
3.5,32632.2,45304,1.388321964194875
4.0,33020.7,45304,1.3719878742728047
4.5,33247.9,45304,1.3626123755184538
5.0,33455.5,45304,1.3541570145417046
5.5,33756.2,45304,1.3420941930667554
6.0,34011.9,45304,1.3320043866999491
6.5,34263.3,45304,1.3222310752320996
7.0,34393.8,45304,1.3172141490617495
7.5,34576.5,45304,1.310254074299018
8.0,34730.3,45304,1.3044517323489861
8.5,34879.9,45304,1.298856934796258
9.0,35061.8,45304,1.2921184879270315
9.5,35299.1,45304,1.2834321554940495
10.0,35364.1,45304,1.2810731787321041
