res,cc_obs,bc_obs,ratio
1.0,9772.5,15267,1.5622409823484267
1.5,10572.7,15267,1.4440020051642437
2.0,11042.0,15267,1.3826299583408803
2.5,11282.2,15267,1.3531935260853378
3.0,11431.7,15267,1.335496907721511
3.5,11533.0,15267,1.3237665828492153
4.0,11686.6,15267,1.3063679769992984
4.5,11754.8,15267,1.2987885799843468
5.0,11851.4,15267,1.2882022377103128
5.5,11967.2,15267,1.2757370145063172
6.0,12047.9,15267,1.267191792760564
6.5,12137.7,15267,1.257816555031019
7.0,12204.6,15267,1.250921783589794
7.5,12273.1,15267,1.2439399988592938
8.0,12332.9,15267,1.2379083589423412
8.5,12370.7,15267,1.23412579724672
9.0,12437.9,15267,1.2274580114006384
9.5,12520.1,15267,1.2193992060766288
10.0,12541.7,15267,1.217299090234976
