res,cc_obs,bc_obs,ratio
1.0,1319.2,2083,1.5789872650090964
1.5,1419.2,2083,1.467728297632469
2.0,1471.4,2083,1.4156585564768247
2.5,1488.3,2083,1.3995834173217765
3.0,1490.8,2083,1.3972363831499865
3.5,1497.9,2083,1.39061352560251
4.0,1511.2,2083,1.3783748014822657
4.5,1513.9,2083,1.3759165070348107
5.0,1520.8,2083,1.369673855865334
5.5,1539.8,2083,1.3527730874139499
6.0,1545.8,2083,1.3475223185405616
6.5,1552.9,2083,1.3413613239744993
7.0,1557.1,2083,1.3377432406396508
7.5,1565.9,2083,1.330225429465483
8.0,1571.2,2083,1.3257382892057026
8.5,1578.3,2083,1.3197744408540835
9.0,1588.8,2083,1.3110523665659617
9.5,1601.8,2083,1.3004120364589837
10.0,1601.7,2083,1.3004932259474309
