res,cc_obs,bc_obs,ratio
1.0,15577.9,24577,1.577683769956156
1.5,17138.5,24577,1.4340228141319251
2.0,17883.9,24577,1.3742528195751484
2.5,18276.5,24577,1.3447323065138292
3.0,18473.0,24577,1.330428192497158
3.5,18614.3,24577,1.3203289943752923
4.0,18791.2,24577,1.3078994422921366
4.5,18922.2,24577,1.2988447432116772
5.0,19012.3,24577,1.2926894694487254
5.5,19182.6,24577,1.281213182780228
6.0,19339.9,24577,1.2707925066830748
6.5,19475.8,24577,1.2619250557101633
7.0,19545.5,24577,1.2574249827325983
7.5,19632.3,24577,1.2518655481018526
8.0,19699.7,24577,1.24758245049417
8.5,19779.5,24577,1.2425491038701686
9.0,19861.5,24577,1.2374191274576443
9.5,19936.9,24577,1.2327392924677356
10.0,19974.6,24577,1.2304126240325215
