res,cc_obs,bc_obs,ratio
1.0,123105.9,143921,1.169082879049664
1.5,151195.2,143921,0.9518886842968559
2.0,157380.7,143921,0.9144768068765737
2.5,162657.5,143921,0.8848101071269385
3.0,166162.5,143921,0.8661460919280825
3.5,168223.2,143921,0.8555359783906143
4.0,169715.2,143921,0.8480147918395052
4.5,170734.9,143921,0.8429500939760998
5.0,171940.2,143921,0.8370410177491941
5.5,172741.5,143921,0.8331582161785095
6.0,173443.9,143921,0.8297841549919023
6.5,174293.0,143921,0.8257417107973355
7.0,175046.0,143921,0.822189595877655
7.5,175612.0,143921,0.819539666993144
8.0,176184.4,143921,0.8168770901396492
8.5,176603.8,143921,0.8149371644324754
9.0,177019.7,143921,0.8130225054047656
9.5,177461.4,143921,0.8109988989154825
10.0,177896.8,143921,0.8090139901336056
