res,cc_obs,bc_obs,ratio
1.0,259024.9,286557,1.1062913256601972
1.5,306799.2,286557,0.9340213403424781
2.0,318272.7,286557,0.900350548444777
2.5,329008.2,286557,0.8709722128506219
3.0,335553.2,286557,0.8539838094227681
3.5,339339.3,286557,0.8444556819678711
4.0,342147.4,286557,0.8375249965365804
4.5,343960.0,286557,0.8331114083032911
5.0,346277.3,286557,0.8275361971460445
5.5,347682.0,286557,0.8241927968661018
6.0,349019.7,286557,0.8210338843337496
6.5,350623.4,286557,0.8172785957811144
7.0,352059.2,286557,0.8139454955302972
7.5,353228.9,286557,0.8112501553525207
8.0,354363.3,286557,0.8086531534162821
8.5,355262.7,286557,0.8066059285143078
9.0,356064.4,286557,0.8047898076864747
9.5,356987.2,286557,0.8027094528879467
10.0,357866.0,286557,0.8007382651607026
