res,cc_obs,bc_obs,ratio
1.0,75452.8,76274,1.010883625259765
1.5,84057.5,76274,0.9074026707908277
2.0,85607.3,76274,0.8909754191523386
2.5,86888.4,76274,0.8778386988366687
3.0,87910.2,76274,0.8676353824698386
3.5,88351.5,76274,0.8633016983299661
4.0,88765.4,76274,0.8592762495296591
4.5,89053.1,76274,0.8565002229007187
5.0,89493.8,76274,0.8522825044863442
5.5,89808.1,76274,0.8492997847632897
6.0,90058.2,76274,0.8469412002460631
6.5,90480.5,76274,0.8429882681903835
7.0,90808.4,76274,0.8399443223314144
7.5,91075.5,76274,0.8374809910458905
8.0,91337.8,76274,0.8350759488404581
8.5,91498.0,76274,0.8336138494830488
9.0,91706.7,76274,0.8317167666048392
9.5,91870.1,76274,0.8302374766109974
10.0,92064.9,76274,0.8284807782336157
