res,cc_obs,bc_obs,ratio
1.0,18152.5,20455,1.1268420327778543
1.5,21959.1,20455,0.9315044787810066
2.0,22650.3,20455,0.9030785464210187
2.5,22994.4,20455,0.8895644156838186
3.0,23197.7,20455,0.8817684511826603
3.5,23246.8,20455,0.8799060515855947
4.0,23334.1,20455,0.8766140541096508
4.5,23401.3,20455,0.8740967382153984
5.0,23521.9,20455,0.8696151246285376
5.5,23594.8,20455,0.8669283062369675
6.0,23632.8,20455,0.865534342100809
6.5,23667.9,20455,0.8642507362292388
7.0,23770.5,20455,0.8605203929240024
7.5,23827.7,20455,0.8584546557158265
8.0,23892.3,20455,0.8561335660442905
8.5,23950.2,20455,0.8540638491536605
9.0,24012.5,20455,0.8518479958355023
9.5,24080.7,20455,0.8494354399996678
10.0,24159.8,20455,0.8466543597215209
