res,cc_obs,bc_obs,ratio
1.0,159374.1,170278,1.068417013805882
1.5,188977.0,170278,0.9010514507056414
2.0,194859.6,170278,0.87384968459342
2.5,198870.8,170278,0.8562242420707314
3.0,201188.9,170278,0.8463588199945424
3.5,202570.9,170278,0.8405847039234164
4.0,203785.6,170278,0.8355742505849284
4.5,204629.6,170278,0.832127903294538
5.0,205770.6,170278,0.8275137458898404
5.5,206603.6,170278,0.8241773134640442
6.0,207010.4,170278,0.8225577072456264
6.5,207711.7,170278,0.8197804938287058
7.0,208458.0,170278,0.8168455995932035
7.5,209072.8,170278,0.814443581374526
8.0,209594.1,170278,0.8124179068017658
8.5,210084.9,170278,0.8105199374157781
9.0,210427.4,170278,0.8092007029502812
9.5,211021.7,170278,0.8069217525970077
10.0,211477.2,170278,0.8051837266617866
