res,cc_obs,bc_obs,ratio
1.0,19447.5,32098,1.6504949222265073
1.5,21094.0,32098,1.5216649284156631
2.0,21975.6,32098,1.4606199603196273
2.5,22569.8,32098,1.422165903109465
3.0,22882.9,32098,1.4027068247468633
3.5,23138.6,32098,1.3872057946461758
4.0,23378.1,32098,1.3729943836325451
4.5,23617.8,32098,1.3590596922660028
5.0,23792.8,32098,1.3490635822601795
5.5,23971.9,32098,1.3389843942282422
6.0,24150.9,32098,1.329060200655048
6.5,24303.1,32098,1.3207368607297012
7.0,24433.1,32098,1.313709680720007
7.5,24536.8,32098,1.3081575429558867
8.0,24703.3,32098,1.299340573931418
8.5,24832.9,32098,1.2925594674806404
9.0,24944.4,32098,1.28678180272927
9.5,25045.3,32098,1.281597744886266
10.0,25097.9,32098,1.2789117814637878
