res,cc_obs,bc_obs,ratio
1.0,38675.1,62913,1.6267055547367686
1.5,41722.5,62913,1.5078914254898437
2.0,43254.5,62913,1.4544845045024217
2.5,44321.9,62913,1.4194562958717925
3.0,44925.0,62913,1.4004006677796328
3.5,45395.4,62913,1.3858893191821198
4.0,45868.2,62913,1.371603856266433
4.5,46295.9,62913,1.3589324324616219
5.0,46611.9,62913,1.3497197067701594
5.5,46952.9,62913,1.339917236209052
6.0,47274.7,62913,1.3307963879199658
6.5,47577.8,62913,1.322318392191316
7.0,47850.7,62913,1.3147770043071472
7.5,48064.9,62913,1.3089177341469553
8.0,48338.7,62913,1.3015037640648177
8.5,48611.0,62913,1.2942132439159861
9.0,48814.7,62913,1.2888125912890995
9.5,48976.5,62913,1.2845548375241187
10.0,49078.3,62913,1.2818903670257527
