res,cc_obs,bc_obs,ratio
1.0,14095.1,21383,1.5170520251718682
1.5,15003.9,21383,1.4251627910076714
2.0,15551.5,21383,1.374979905475356
2.5,15898.8,21383,1.3449442725237126
3.0,16041.7,21383,1.332963463972023
3.5,16193.2,21383,1.3204925524294147
4.0,16333.7,21383,1.309133876586444
4.5,16496.4,21383,1.296222206057079
5.0,16607.8,21383,1.2875275472970533
5.5,16699.7,21383,1.2804421636316818
6.0,16792.2,21383,1.2733888352925762
6.5,16883.0,21383,1.2665403068175087
7.0,16954.4,21383,1.26120653045817
7.5,17003.2,21383,1.2575868071892349
8.0,17117.1,21383,1.2492186176396705
8.5,17192.1,21383,1.2437689403854097
9.0,17267.4,21383,1.2383450895907895
9.5,17330.6,21383,1.233829180755427
10.0,17355.6,21383,1.2320519025559475
