res,cc_obs,bc_obs,ratio
1.0,1305.1,2125,1.628227722013639
1.5,1378.9,2125,1.541083472333019
2.0,1412.7,2125,1.5042117930204573
2.5,1435.6,2125,1.4802173307327948
3.0,1452.2,2125,1.463297066519763
3.5,1462.6,2125,1.4528921099412007
4.0,1475.6,2125,1.4400921658986177
4.5,1480.8,2125,1.4350351161534307
5.0,1484.8,2125,1.4311691810344829
5.5,1488.1,2125,1.4279954304146227
6.0,1493.0,2125,1.4233087742799733
6.5,1501.9,2125,1.414874492309741
7.0,1508.2,2125,1.4089643283384166
7.5,1516.2,2125,1.4015301411423295
8.0,1525.5,2125,1.3929859062602425
8.5,1537.8,2125,1.3818441930029912
9.0,1541.2,2125,1.378795743576434
9.5,1542.5,2125,1.3776337115072934
10.0,1546.0,2125,1.3745148771021993
