res,cc_obs,bc_obs,ratio
1.0,17366.8,28245,1.6263790681069628
1.5,18740.0,28245,1.5072038420490927
2.0,19364.2,28245,1.4586195143615537
2.5,19846.8,28245,1.4231513392587218
3.0,20056.0,28245,1.4083067411248504
3.5,20239.4,28245,1.3955453224897971
4.0,20409.3,28245,1.3839279152151225
4.5,20563.2,28245,1.3735702614379084
5.0,20699.8,28245,1.3645059372554325
5.5,20822.9,28245,1.3564393048038457
6.0,20953.7,28245,1.347971957219966
6.5,21094.7,28245,1.3389619193446696
7.0,21208.5,28245,1.3317773534196196
7.5,21298.0,28245,1.3261808620527749
8.0,21424.8,28245,1.318332026436653
8.5,21516.2,28245,1.312731802084011
9.0,21612.4,28245,1.3068886380041087
9.5,21688.6,28245,1.3022970592846013
10.0,21736.7,28245,1.2994152746277032
