res,cc_obs,bc_obs,ratio
1.0,89042.0,98785,1.1094202735787606
1.5,99433.0,98785,0.9934830488871904
2.0,103559.2,98785,0.953898832744942
2.5,105358.6,98785,0.9376073713963549
3.0,106544.6,98785,0.9271704056329462
3.5,107360.6,98785,0.920123397223935
4.0,107792.7,98785,0.9164349719415137
4.5,108297.9,98785,0.9121598849100491
5.0,108666.2,98785,0.9090683211522994
5.5,108997.7,98785,0.9063035275056263
6.0,109270.0,98785,0.9040450260821817
6.5,109600.2,98785,0.9013213479537446
7.0,109899.4,98785,0.8988675097407266
7.5,110252.9,98785,0.8959855024221586
8.0,110470.3,98785,0.8942222479707215
8.5,110735.3,98785,0.8920822899292276
9.0,110934.1,98785,0.8904836294701087
9.5,111229.5,98785,0.8881187095150117
10.0,111488.0,98785,0.8860594862227325
