res,cc_obs,bc_obs,ratio
1.0,16873.0,18269,1.0827357316422688
1.5,19924.9,18269,0.916892932963277
2.0,20401.6,18269,0.8954689828248765
2.5,20630.5,18269,0.8855335546884467
3.0,20847.4,18269,0.8763203085276821
3.5,21046.8,18269,0.8680179409696486
4.0,21165.8,18269,0.8631377032760397
4.5,21219.3,18269,0.8609614831780502
5.0,21265.0,18269,0.8591112156125088
5.5,21319.9,18269,0.8568989535598196
6.0,21348.3,18269,0.8557590065719519
6.5,21408.7,18269,0.85334466828906
7.0,21456.7,18269,0.851435682094637
7.5,21526.6,18269,0.8486709466427583
8.0,21553.2,18269,0.8476235547389714
8.5,21605.7,18269,0.8455639021184225
9.0,21645.7,18269,0.8440013489977224
9.5,21653.9,18269,0.843681738624451
10.0,21658.1,18269,0.8435181294758082
